Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
474447,2010,1,0.875,0.049342105,0.875,0.059027778,0.868372093,0.053218495,0.786285714,0.08075412,0.838833333,0.081271497,0.5,0.285714286,1,0,0.540983607,0.252459016,0.705882353,0.209371884
614408,2010,1,0.6375,0.036019737,0.575,0.028472222,0.635581395,0.099081423,0.524,0.086412754,0.706,0.076173559,0.75,0.214285714,0.75,0.214285714,0.442622951,0.250819672,0.773109244,0.176897878
353116,2010,1,0.675,0.073026316,0.65,0.058333333,0.744069767,0.080819713,0.638285714,0.099640497,0.700333333,0.100999887,1,0,0.625,0.267857143,0.573770492,0.24863388,0.764705882,0.181455633
750229,2010,1,0.675,0.066447368,0.675,0.070138889,0.663604651,0.077592736,0.633428571,0.100979379,0.561166667,0.111776582,0.5,0.285714286,0.875,0.125,0.672131148,0.224043716,0.798319328,0.162370033
827585,2010,1,0.65,0.015789474,0.625,0.017361111,0.697790698,0.08590212,0.6,0.115304348,0.605166667,0.111828785,0.75,0.214285714,0.875,0.125,0.590163934,0.245901639,0.697478992,0.212790201
617243,2011,1,,,,,,,,,,,,,,,,,,
469760,2011,1,0.85,0.015789474,0.8,0.025,0.838023256,0.051498399,0.733714286,0.089261366,0.589166667,0.159960311,0.5,0.285714286,1,0,0.672131148,0.224043716,0.711864407,0.20686658
572949,2011,1,0.8125,0.051809211,0.75,0.083333333,0.748372093,0.081277319,0.681428571,0.098464596,0.678,0.124582373,0.625,0.267857143,0.75,0.214285714,0.672131148,0.224043716,0.788135593,0.168405041
558483,2011,1,0.9,0.022368421,0.875,0.03125,0.926744186,0.037473981,0.834142857,0.053836211,0.872166667,0.064664718,0.875,0.125,1,0,0.852459016,0.127868852,0.847457627,0.130378096
640409,2011,1,0.525,0.045394737,0.375,0.03125,0.650697674,0.115512449,0.656857143,0.119714617,0.599666667,0.116721921,0.25,0.214285714,0.625,0.267857143,0.475409836,0.253551913,0.703389831,0.210415761
935954,2011,1,0.7375,0.029440789,0.7,0.025,0.865116279,0.045229986,0.795571429,0.065659814,0.800333333,0.080064294,0.875,0.125,1,0,0.672131148,0.224043716,0.771186441,0.177966102
979835,2011,1,0.833333333,0.036764706,0.777777778,0.053819444,0.818181818,0.07507823,0.767777778,0.092017563,0.827592593,0.074456359,0.571428571,0.285714286,1,0,0.568627451,0.250196078,0.703703704,0.210453444
850841,2011,1,0.4875,0.042598684,0.4,0.058333333,0.682325581,0.094450999,0.608857143,0.145471139,0.578,0.10564678,0.625,0.267857143,0.75,0.214285714,0.508196721,0.254098361,0.745762712,0.191221208
990207,2011,1,0.775,0.051973684,0.75,0.055555556,0.81,0.082877647,0.781142857,0.102940704,0.811,0.095917627,1,0,1,0,0.704918033,0.21147541,0.771186441,0.177966102
265990,2011,1,,,,,,,,,,,,,,,,,,
546911,2011,1,0.8,0.043421053,0.7,0.038888889,0.740581395,0.098137305,0.709857143,0.103201429,0.700166667,0.104815226,0.375,0.267857143,0.875,0.125,0.508196721,0.254098361,0.822033898,0.147544546
460301,2011,1,,,,,,,,,,,,,,,,,,
655103,2011,1,,,,,,,,,,,,,,,,,,
303625,2011,1,0.725,0.091447368,0.625,0.128472222,0.825232558,0.080891122,0.818857143,0.099210269,0.760833333,0.128838277,0.75,0.214285714,0.875,0.125,0.639344262,0.23442623,0.737288136,0.195349848
