,Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
403,467765,2012.0,1,0.8375,0.03140625,0.8,0.06,0.891111111,0.015353086,0.805714286,0.019232653,0.813333333,0.021377777999999997,1.0,0.0,0.75,0.1875,0.63953373,0.08632589800000001,0.774224664,0.028746759
200,931610,2010.0,1,0.8875,0.029440789,0.875,0.03125,0.818488372,0.064474159,0.7767142859999999,0.083016584,0.783666667,0.09745751400000001,0.625,0.267857143,0.625,0.267857143,0.655737705,0.229508197,0.74789916,0.19014385399999997
301,241016,2011.0,1,0.65,0.022368421,0.55,0.052777778,0.686162791,0.095621573,0.690142857,0.11761012400000001,0.6275,0.12153432199999999,1.0,0.0,0.375,0.267857143,0.45901639299999997,0.25245901600000004,0.652542373,0.228668695
91,699134,2008.0,1,0.7,0.025,0.694444444,0.027777778,0.975,0.025,0.929577465,0.06639839,0.709677419,0.21290322600000003,0.7777777779999999,0.194444444,0.7777777779999999,0.194444444,0.545454545,0.25078369899999997,0.8,0.16146789
368,999229,2012.0,1,0.525,0.09625,0.475,0.080625,0.768,0.024603654,0.68,0.042742857,0.7533333329999999,0.035155556,0.75,0.1875,0.4375,0.21484375,0.285069444,0.067312765,0.6902441999999999,0.068943136
45,775874,2008.0,1,0.85,0.030555556,0.791666667,0.054398148,0.975,0.025,0.9577464790000001,0.041046278,0.935483871,0.062365591,0.222222222,0.194444444,1.0,0.0,0.670454545,0.223484848,0.854545455,0.125437865
531,526960,2013.0,1,0.4875,0.09828125,0.575,0.100625,0.7979999999999999,0.037795999999999996,0.805714286,0.045681633,0.681428571,0.070206122,0.84375,0.030273438,0.875,0.109375,0.64014881,0.067749758,0.66869188,0.07004995900000001
495,163806,2013.0,1,0.7875,0.03140625,0.775,0.030625,0.9329999999999999,0.015761,0.8971428570000001,0.024522448999999998,0.8409523809999999,0.030808163,0.71875,0.038085938,0.4375,0.21484375,0.710386905,0.058489342,0.8174830890000001,0.026590935
414,216097,2012.0,1,0.5,0.01875,0.425,0.013125,0.7915555559999999,0.014389926,0.7142857140000001,0.024489796,0.523333333,0.049788889,0.625,0.234375,0.6875,0.18359375,0.57016369,0.10572123300000001,0.78993895,0.035911313
262,979835,2011.0,1,0.833333333,0.036764706,0.7777777779999999,0.053819444,0.818181818,0.07507823,0.767777778,0.09201756300000001,0.827592593,0.074456359,0.571428571,0.28571428600000004,1.0,0.0,0.568627451,0.250196078,0.703703704,0.210453444
